,id,run_id,workflow_name,head_branch,run_url,run_attempt,node_id,head_sha,url,html_url,status,conclusion,created_at,started_at,completed_at,name,steps,check_run_url,labels,runner_id,runner_name,runner_group_id,runner_group_name,duration,co2_emission,unit
0,19330280116,7101667450,lint,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667450,1,CR_kwDOBAYhu88AAAAEgCyqtA,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330280116,https://github.com/tidyverse/tidyverse/actions/runs/7101667450/job/19330280116,completed,failure,2023-12-05T13:48:46Z,2023-12-05 13:48:54+00:00,2023-12-05 13:53:15+00:00,lint,"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:53.000+01:00', 'completed_at': '2023-12-05T14:49:05.000+01:00'}, {'name': 'Run actions/checkout@v4', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:05.000+01:00', 'completed_at': '2023-12-05T14:49:09.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:10.000+01:00', 'completed_at': '2023-12-05T14:50:17.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:50:17.000+01:00', 'completed_at': '2023-12-05T14:53:09.000+01:00'}, {'name': 'Lint', 'status': 'completed', 'conclusion': 'failure', 'number': 5, 'started_at': '2023-12-05T14:53:10.000+01:00', 'completed_at': '2023-12-05T14:53:11.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 9, 'started_at': '2023-12-05T14:53:11.000+01:00', 'completed_at': '2023-12-05T14:53:11.000+01:00'}, {'name': 'Post Run actions/checkout@v4', 'status': 'completed', 'conclusion': 'success', 'number': 10, 'started_at': '2023-12-05T14:53:11.000+01:00', 'completed_at': '2023-12-05T14:53:11.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 20, 'started_at': '2023-12-05T14:53:11.000+01:00', 'completed_at': '2023-12-05T14:53:11.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330280116,['ubuntu-latest'],2,GitHub Actions 2,2,GitHub Actions,0.0725,4.701e-05,kg
0,19330281390,7101667449,pkgdown,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667449,1,CR_kwDOBAYhu88AAAAEgCyvrg,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330281390,https://github.com/tidyverse/tidyverse/actions/runs/7101667449/job/19330281390,completed,success,2023-12-05T13:48:49Z,2023-12-05 13:48:58+00:00,2023-12-05 13:53:35+00:00,pkgdown,"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:57.000+01:00', 'completed_at': '2023-12-05T14:49:10.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:10.000+01:00', 'completed_at': '2023-12-05T14:49:13.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:13.000+01:00', 'completed_at': '2023-12-05T14:49:37.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:37.000+01:00', 'completed_at': '2023-12-05T14:50:36.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:50:36.000+01:00', 'completed_at': '2023-12-05T14:53:14.000+01:00'}, {'name': 'Build site', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:53:14.000+01:00', 'completed_at': '2023-12-05T14:53:25.000+01:00'}, {'name': 'Deploy to GitHub pages 🚀', 'status': 'completed', 'conclusion': 'skipped', 'number': 7, 'started_at': '2023-12-05T14:53:26.000+01:00', 'completed_at': '2023-12-05T14:53:26.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 13, 'started_at': '2023-12-05T14:53:26.000+01:00', 'completed_at': '2023-12-05T14:53:31.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 14, 'started_at': '2023-12-05T14:53:35.000+01:00', 'completed_at': '2023-12-05T14:53:35.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 24, 'started_at': '2023-12-05T14:53:31.000+01:00', 'completed_at': '2023-12-05T14:53:31.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330281390,['ubuntu-latest'],14,GitHub Actions 14,2,GitHub Actions,0.07694444444444444,4.99e-05,kg
0,19330280103,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyqpw,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330280103,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330280103,completed,success,2023-12-05T13:48:46Z,2023-12-05 13:48:55+00:00,2023-12-05 13:52:33+00:00,macos-latest (release),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:54.000+01:00', 'completed_at': '2023-12-05T14:49:33.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:33.000+01:00', 'completed_at': '2023-12-05T14:49:35.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:36.000+01:00', 'completed_at': '2023-12-05T14:49:39.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:39.000+01:00', 'completed_at': '2023-12-05T14:50:24.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:50:25.000+01:00', 'completed_at': '2023-12-05T14:51:22.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:51:23.000+01:00', 'completed_at': '2023-12-05T14:52:21.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:52:21.000+01:00', 'completed_at': '2023-12-05T14:52:29.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:52:30.000+01:00', 'completed_at': '2023-12-05T14:52:30.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:52:30.000+01:00', 'completed_at': '2023-12-05T14:52:30.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330280103,['macos-latest'],3,GitHub Actions 3,2,GitHub Actions,0.06055555555555556,3.927e-05,kg
1,19330280602,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCysmg,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330280602,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330280602,completed,success,2023-12-05T13:48:47Z,2023-12-05 13:48:56+00:00,2023-12-05 13:52:53+00:00,windows-latest (release),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:56.000+01:00', 'completed_at': '2023-12-05T14:49:17.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:17.000+01:00', 'completed_at': '2023-12-05T14:49:31.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:32.000+01:00', 'completed_at': '2023-12-05T14:49:33.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:33.000+01:00', 'completed_at': '2023-12-05T14:51:02.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:51:02.000+01:00', 'completed_at': '2023-12-05T14:51:50.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:51:51.000+01:00', 'completed_at': '2023-12-05T14:52:45.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:52:45.000+01:00', 'completed_at': '2023-12-05T14:52:51.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:52:51.000+01:00', 'completed_at': '2023-12-05T14:52:52.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:52:52.000+01:00', 'completed_at': '2023-12-05T14:52:52.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330280602,['windows-latest'],11,GitHub Actions 11,2,GitHub Actions,0.06583333333333333,4.269e-05,kg
2,19330280973,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyuDQ,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330280973,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330280973,completed,success,2023-12-05T13:48:48Z,2023-12-05 13:48:57+00:00,2023-12-05 13:53:33+00:00,windows-latest (3.6),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:57.000+01:00', 'completed_at': '2023-12-05T14:49:18.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:18.000+01:00', 'completed_at': '2023-12-05T14:49:23.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:24.000+01:00', 'completed_at': '2023-12-05T14:49:25.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:26.000+01:00', 'completed_at': '2023-12-05T14:51:40.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:51:40.000+01:00', 'completed_at': '2023-12-05T14:52:30.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:52:31.000+01:00', 'completed_at': '2023-12-05T14:53:22.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:53:23.000+01:00', 'completed_at': '2023-12-05T14:53:30.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:53:31.000+01:00', 'completed_at': '2023-12-05T14:53:31.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:53:31.000+01:00', 'completed_at': '2023-12-05T14:53:31.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330280973,['windows-latest'],9,GitHub Actions 9,2,GitHub Actions,0.07666666666666666,4.972e-05,kg
3,19330281316,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyvZA,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330281316,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330281316,completed,success,2023-12-05T13:48:48Z,2023-12-05 13:48:58+00:00,2023-12-05 13:55:41+00:00,windows-latest (4.1),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:57.000+01:00', 'completed_at': '2023-12-05T14:49:16.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:16.000+01:00', 'completed_at': '2023-12-05T14:49:23.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:23.000+01:00', 'completed_at': '2023-12-05T14:49:24.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:25.000+01:00', 'completed_at': '2023-12-05T14:53:42.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:53:42.000+01:00', 'completed_at': '2023-12-05T14:54:41.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:54:41.000+01:00', 'completed_at': '2023-12-05T14:55:39.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:55:39.000+01:00', 'completed_at': '2023-12-05T14:55:39.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:55:40.000+01:00', 'completed_at': '2023-12-05T14:55:40.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:55:40.000+01:00', 'completed_at': '2023-12-05T14:55:40.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330281316,['windows-latest'],10,GitHub Actions 10,2,GitHub Actions,0.11194444444444444,7.259e-05,kg
4,19330281775,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyxLw,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330281775,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330281775,completed,failure,2023-12-05T13:48:49Z,2023-12-05 13:48:55+00:00,2023-12-05 14:06:13+00:00,ubuntu-latest (devel),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:54.000+01:00', 'completed_at': '2023-12-05T14:49:03.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:03.000+01:00', 'completed_at': '2023-12-05T14:49:04.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:04.000+01:00', 'completed_at': '2023-12-05T14:49:10.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:10.000+01:00', 'completed_at': '2023-12-05T14:49:45.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:49:46.000+01:00', 'completed_at': '2023-12-05T15:05:36.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'failure', 'number': 6, 'started_at': '2023-12-05T15:05:37.000+01:00', 'completed_at': '2023-12-05T15:06:12.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T15:06:13.000+01:00', 'completed_at': '2023-12-05T15:06:13.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T15:06:13.000+01:00', 'completed_at': '2023-12-05T15:06:13.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T15:06:12.000+01:00', 'completed_at': '2023-12-05T15:06:12.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330281775,['ubuntu-latest'],4,GitHub Actions 4,2,GitHub Actions,0.28833333333333333,0.000187,kg
5,19330282089,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyyaQ,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330282089,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330282089,completed,success,2023-12-05T13:48:50Z,2023-12-05 13:48:55+00:00,2023-12-05 13:52:12+00:00,ubuntu-latest (release),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:55.000+01:00', 'completed_at': '2023-12-05T14:49:04.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:04.000+01:00', 'completed_at': '2023-12-05T14:49:05.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:05.000+01:00', 'completed_at': '2023-12-05T14:49:11.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:11.000+01:00', 'completed_at': '2023-12-05T14:49:46.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:49:46.000+01:00', 'completed_at': '2023-12-05T14:51:33.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:51:33.000+01:00', 'completed_at': '2023-12-05T14:52:05.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:52:05.000+01:00', 'completed_at': '2023-12-05T14:52:10.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:52:10.000+01:00', 'completed_at': '2023-12-05T14:52:10.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:52:10.000+01:00', 'completed_at': '2023-12-05T14:52:10.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330282089,['ubuntu-latest'],12,GitHub Actions 12,2,GitHub Actions,0.05472222222222222,3.549e-05,kg
6,19330282478,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCyz7g,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330282478,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330282478,completed,success,2023-12-05T13:48:50Z,2023-12-05 13:48:54+00:00,2023-12-05 13:52:50+00:00,ubuntu-latest (oldrel-1),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:54.000+01:00', 'completed_at': '2023-12-05T14:49:04.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:04.000+01:00', 'completed_at': '2023-12-05T14:49:04.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:05.000+01:00', 'completed_at': '2023-12-05T14:49:10.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:10.000+01:00', 'completed_at': '2023-12-05T14:49:38.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:49:38.000+01:00', 'completed_at': '2023-12-05T14:51:58.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:51:58.000+01:00', 'completed_at': '2023-12-05T14:52:44.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:52:44.000+01:00', 'completed_at': '2023-12-05T14:52:49.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:52:49.000+01:00', 'completed_at': '2023-12-05T14:52:49.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:52:49.000+01:00', 'completed_at': '2023-12-05T14:52:49.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330282478,['ubuntu-latest'],5,GitHub Actions 5,2,GitHub Actions,0.06555555555555556,4.251e-05,kg
7,19330282816,7101667445,R-CMD-check,lintr,https://api.github.com/repos/tidyverse/tidyverse/actions/runs/7101667445,1,CR_kwDOBAYhu88AAAAEgCy1QA,443e932b2be27c9babbca68f1566c987587e9b50,https://api.github.com/repos/tidyverse/tidyverse/actions/jobs/19330282816,https://github.com/tidyverse/tidyverse/actions/runs/7101667445/job/19330282816,completed,success,2023-12-05T13:48:51Z,2023-12-05 13:48:55+00:00,2023-12-05 13:53:16+00:00,ubuntu-latest (oldrel-2),"[{'name': 'Set up job', 'status': 'completed', 'conclusion': 'success', 'number': 1, 'started_at': '2023-12-05T14:48:55.000+01:00', 'completed_at': '2023-12-05T14:49:06.000+01:00'}, {'name': 'Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 2, 'started_at': '2023-12-05T14:49:06.000+01:00', 'completed_at': '2023-12-05T14:49:07.000+01:00'}, {'name': 'Run r-lib/actions/setup-pandoc@v2', 'status': 'completed', 'conclusion': 'success', 'number': 3, 'started_at': '2023-12-05T14:49:07.000+01:00', 'completed_at': '2023-12-05T14:49:13.000+01:00'}, {'name': 'Run r-lib/actions/setup-r@v2', 'status': 'completed', 'conclusion': 'success', 'number': 4, 'started_at': '2023-12-05T14:49:13.000+01:00', 'completed_at': '2023-12-05T14:49:54.000+01:00'}, {'name': 'Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 5, 'started_at': '2023-12-05T14:49:54.000+01:00', 'completed_at': '2023-12-05T14:52:21.000+01:00'}, {'name': 'Run r-lib/actions/check-r-package@v2', 'status': 'completed', 'conclusion': 'success', 'number': 6, 'started_at': '2023-12-05T14:52:21.000+01:00', 'completed_at': '2023-12-05T14:53:07.000+01:00'}, {'name': 'Post Run r-lib/actions/setup-r-dependencies@v2', 'status': 'completed', 'conclusion': 'success', 'number': 11, 'started_at': '2023-12-05T14:53:08.000+01:00', 'completed_at': '2023-12-05T14:53:13.000+01:00'}, {'name': 'Post Run actions/checkout@v3', 'status': 'completed', 'conclusion': 'success', 'number': 12, 'started_at': '2023-12-05T14:53:13.000+01:00', 'completed_at': '2023-12-05T14:53:13.000+01:00'}, {'name': 'Complete job', 'status': 'completed', 'conclusion': 'success', 'number': 26, 'started_at': '2023-12-05T14:53:13.000+01:00', 'completed_at': '2023-12-05T14:53:13.000+01:00'}]",https://api.github.com/repos/tidyverse/tidyverse/check-runs/19330282816,['ubuntu-latest'],8,GitHub Actions 8,2,GitHub Actions,0.0725,4.701e-05,kg
